beta_middle,beta_rich,middle_prefers_premium,no_degenerate_cell,middle_values_quality,rich_values_it_more,quality_below_preference,premium_not_dominant_for_middle,admissible
2.2,2.1,0.065245,True,True,False,True,True,False
2.2,2.2,0.065245,True,True,False,True,True,False
2.2,2.3,0.065245,True,True,True,True,True,True
2.2,2.4,0.065245,True,True,True,True,True,True
2.2,2.5,0.065245,True,True,True,True,True,True
2.2,2.6,0.065245,True,True,True,True,True,True
2.2,2.7,0.065245,True,True,True,True,True,True
2.2,2.8,0.065245,True,True,True,True,True,True
2.2,2.9,0.065245,True,True,True,True,True,True
2.2,3.0,0.065245,True,True,True,True,True,True
2.2,3.1,0.065245,True,True,True,True,True,True
2.2,3.2,0.065245,True,True,True,True,True,True
2.2,3.3,0.065245,True,True,True,True,True,True
2.2,3.4,0.065245,True,True,True,True,True,True
2.2,3.5,0.065245,True,True,True,True,True,True
2.2,3.6,0.065245,True,True,True,True,True,True
2.2,3.7,0.065245,True,True,True,True,True,True
2.2,3.8,0.065245,True,True,True,True,True,True
2.2,3.9,0.065245,True,True,True,True,True,True
2.2,4.0,0.065245,True,True,True,True,True,True
2.2,4.1,0.065245,True,True,True,True,True,True
2.2,4.2,0.065245,True,True,True,True,True,True
2.2,4.3,0.065245,True,True,True,True,True,True
2.2,4.4,0.065245,False,True,True,True,True,False
2.2,4.5,0.065245,False,True,True,True,True,False
2.2,4.6,0.065245,False,True,True,True,True,False
2.2,4.7,0.065245,False,True,True,True,True,False
2.2,4.8,0.065245,False,True,True,True,True,False
2.2,4.9,0.065245,False,True,True,True,True,False
2.2,5.0,0.065245,False,True,True,True,True,False
2.3,0.0,0.07888,True,True,False,True,True,False
2.3,0.1,0.07888,True,True,False,True,True,False
2.3,0.2,0.07888,True,True,False,True,True,False
2.3,0.3,0.07888,True,True,False,True,True,False
2.3,0.4,0.07888,True,True,False,True,True,False
2.3,0.5,0.07888,True,True,False,True,True,False
2.3,0.6,0.07888,True,True,False,True,True,False
2.3,0.7,0.07888,True,True,False,True,True,False
2.3,0.8,0.07888,True,True,False,True,True,False
2.3,0.9,0.07888,True,True,False,True,True,False
2.3,1.0,0.07888,True,True,False,True,True,False
2.3,1.1,0.07888,True,True,False,True,True,False
2.3,1.2,0.07888,True,True,False,True,True,False
2.3,1.3,0.07888,True,True,False,True,True,False
2.3,1.4,0.07888,True,True,False,True,True,False
2.3,1.5,0.07888,True,True,False,True,True,False
2.3,1.6,0.07888,True,True,False,True,True,False
2.3,1.7,0.07888,True,True,False,True,True,False
2.3,1.8,0.07888,True,True,False,True,True,False
2.3,1.9,0.07888,True,True,False,True,True,False
2.3,2.0,0.07888,True,True,False,True,True,False
2.3,2.1,0.07888,True,True,False,True,True,False
2.3,2.2,0.07888,True,True,False,True,True,False
2.3,2.3,0.07888,True,True,False,True,True,False
2.3,2.4,0.07888,True,True,True,True,True,True
2.3,2.5,0.07888,True,True,True,True,True,True
2.3,2.6,0.07888,True,True,True,True,True,True
2.3,2.7,0.07888,True,True,True,True,True,True
2.3,2.8,0.07888,True,True,True,True,True,True
2.3,2.9,0.07888,True,True,True,True,True,True
2.3,3.0,0.07888,True,True,True,True,True,True
2.3,3.1,0.07888,True,True,True,True,True,True
2.3,3.2,0.07888,True,True,True,True,True,True
2.3,3.3,0.07888,True,True,True,True,True,True
2.3,3.4,0.07888,True,True,True,True,True,True
2.3,3.5,0.07888,True,True,True,True,True,True
2.3,3.6,0.07888,True,True,True,True,True,True
2.3,3.7,0.07888,True,True,True,True,True,True
2.3,3.8,0.07888,True,True,True,True,True,True
2.3,3.9,0.07888,True,True,True,True,True,True
2.3,4.0,0.07888,True,True,True,True,True,True
2.3,4.1,0.07888,True,True,True,True,True,True
2.3,4.2,0.07888,True,True,True,True,True,True
2.3,4.3,0.07888,True,True,True,True,True,True
2.3,4.4,0.07888,False,True,True,True,True,False
2.3,4.5,0.07888,False,True,True,True,True,False
2.3,4.6,0.07888,False,True,True,True,True,False
2.3,4.7,0.07888,False,True,True,True,True,False
2.3,4.8,0.07888,False,True,True,True,True,False
2.3,4.9,0.07888,False,True,True,True,True,False
2.3,5.0,0.07888,False,True,True,True,True,False
2.4,0.0,0.09388,True,True,False,True,True,False
2.4,0.1,0.09388,True,True,False,True,True,False
2.4,0.2,0.09388,True,True,False,True,True,False
2.4,0.3,0.09388,True,True,False,True,True,False
2.4,0.4,0.09388,True,True,False,True,True,False
2.4,0.5,0.09388,True,True,False,True,True,False
2.4,0.6,0.09388,True,True,False,True,True,False
2.4,0.7,0.09388,True,True,False,True,True,False
2.4,0.8,0.09388,True,True,False,True,True,False
2.4,0.9,0.09388,True,True,False,True,True,False
2.4,1.0,0.09388,True,True,False,True,True,False
2.4,1.1,0.09388,True,True,False,True,True,False
2.4,1.2,0.09388,True,True,False,True,True,False
2.4,1.3,0.09388,True,True,False,True,True,False
2.4,1.4,0.09388,True,True,False,True,True,False
2.4,1.5,0.09388,True,True,False,True,True,False
2.4,1.6,0.09388,True,True,False,True,True,False
2.4,1.7,0.09388,True,True,False,True,True,False
2.4,1.8,0.09388,True,True,False,True,True,False
2.4,1.9,0.09388,True,True,False,True,True,False
2.4,2.0,0.09388,True,True,False,True,True,False
2.4,2.1,0.09388,True,True,False,True,True,False
2.4,2.2,0.09388,True,True,False,True,True,False
2.4,2.3,0.09388,True,True,False,True,True,False
2.4,2.4,0.09388,True,True,False,True,True,False
2.4,2.5,0.09388,True,True,True,True,True,True
2.4,2.6,0.09388,True,True,True,True,True,True
2.4,2.7,0.09388,True,True,True,True,True,True
2.4,2.8,0.09388,True,True,True,True,True,True
2.4,2.9,0.09388,True,True,True,True,True,True
2.4,3.0,0.09388,True,True,True,True,True,True
2.4,3.1,0.09388,True,True,True,True,True,True
2.4,3.2,0.09388,True,True,True,True,True,True
2.4,3.3,0.09388,True,True,True,True,True,True
2.4,3.4,0.09388,True,True,True,True,True,True
2.4,3.5,0.09388,True,True,True,True,True,True
2.4,3.6,0.09388,True,True,True,True,True,True
2.4,3.7,0.09388,True,True,True,True,True,True
2.4,3.8,0.09388,True,True,True,True,True,True
2.4,3.9,0.09388,True,True,True,True,True,True
2.4,4.0,0.09388,True,True,True,True,True,True
2.4,4.1,0.09388,True,True,True,True,True,True
2.4,4.2,0.09388,True,True,True,True,True,True
2.4,4.3,0.09388,True,True,True,True,True,True
2.4,4.4,0.09388,False,True,True,True,True,False
2.4,4.5,0.09388,False,True,True,True,True,False
2.4,4.6,0.09388,False,True,True,True,True,False
2.4,4.7,0.09388,False,True,True,True,True,False
2.4,4.8,0.09388,False,True,True,True,True,False
2.4,4.9,0.09388,False,True,True,True,True,False
2.4,5.0,0.09388,False,True,True,True,True,False
2.5,0.0,0.109945,True,True,False,True,True,False
2.5,0.1,0.109945,True,True,False,True,True,False
2.5,0.2,0.109945,True,True,False,True,True,False
2.5,0.3,0.109945,True,True,False,True,True,False
2.5,0.4,0.109945,True,True,False,True,True,False
2.5,0.5,0.109945,True,True,False,True,True,False
2.5,0.6,0.109945,True,True,False,True,True,False
2.5,0.7,0.109945,True,True,False,True,True,False
2.5,0.8,0.109945,True,True,False,True,True,False
2.5,0.9,0.109945,True,True,False,True,True,False
2.5,1.0,0.109945,True,True,False,True,True,False
2.5,1.1,0.109945,True,True,False,True,True,False
2.5,1.2,0.109945,True,True,False,True,True,False
2.5,1.3,0.109945,True,True,False,True,True,False
2.5,1.4,0.109945,True,True,False,True,True,False
2.5,1.5,0.109945,True,True,False,True,True,False
2.5,1.6,0.109945,True,True,False,True,True,False
2.5,1.7,0.109945,True,True,False,True,True,False
2.5,1.8,0.109945,True,True,False,True,True,False
2.5,1.9,0.109945,True,True,False,True,True,False
2.5,2.0,0.109945,True,True,False,True,True,False
2.5,2.1,0.109945,True,True,False,True,True,False
2.5,2.2,0.109945,True,True,False,True,True,False
2.5,2.3,0.109945,True,True,False,True,True,False
2.5,2.4,0.109945,True,True,False,True,True,False
2.5,2.5,0.109945,True,True,False,True,True,False
2.5,2.6,0.109945,True,True,True,True,True,True
2.5,2.7,0.109945,True,True,True,True,True,True
2.5,2.8,0.109945,True,True,True,True,True,True
2.5,2.9,0.109945,True,True,True,True,True,True
2.5,3.0,0.109945,True,True,True,True,True,True
2.5,3.1,0.109945,True,True,True,True,True,True
2.5,3.2,0.109945,True,True,True,True,True,True
2.5,3.3,0.109945,True,True,True,True,True,True
2.5,3.4,0.109945,True,True,True,True,True,True
2.5,3.5,0.109945,True,True,True,True,True,True
2.5,3.6,0.109945,True,True,True,True,True,True
2.5,3.7,0.109945,True,True,True,True,True,True
2.5,3.8,0.109945,True,True,True,True,True,True
2.5,3.9,0.109945,True,True,True,True,True,True
2.5,4.0,0.109945,True,True,True,True,True,True
2.5,4.1,0.109945,True,True,True,True,True,True
2.5,4.2,0.109945,True,True,True,True,True,True
2.5,4.3,0.109945,True,True,True,True,True,True
2.5,4.4,0.109945,False,True,True,True,True,False
2.5,4.5,0.109945,False,True,True,True,True,False
2.5,4.6,0.109945,False,True,True,True,True,False
2.5,4.7,0.109945,False,True,True,True,True,False
2.5,4.8,0.109945,False,True,True,True,True,False
2.5,4.9,0.109945,False,True,True,True,True,False
2.5,5.0,0.109945,False,True,True,True,True,False
2.6,0.0,0.12788,True,True,False,True,True,False
2.6,0.1,0.12788,True,True,False,True,True,False
2.6,0.2,0.12788,True,True,False,True,True,False
2.6,0.3,0.12788,True,True,False,True,True,False
2.6,0.4,0.12788,True,True,False,True,True,False
2.6,0.5,0.12788,True,True,False,True,True,False
2.6,0.6,0.12788,True,True,False,True,True,False
2.6,0.7,0.12788,True,True,False,True,True,False
2.6,0.8,0.12788,True,True,False,True,True,False
2.6,0.9,0.12788,True,True,False,True,True,False
2.6,1.0,0.12788,True,True,False,True,True,False
2.6,1.1,0.12788,True,True,False,True,True,False
2.6,1.2,0.12788,True,True,False,True,True,False
2.6,1.3,0.12788,True,True,False,True,True,False
2.6,1.4,0.12788,True,True,False,True,True,False
2.6,1.5,0.12788,True,True,False,True,True,False
2.6,1.6,0.12788,True,True,False,True,True,False
2.6,1.7,0.12788,True,True,False,True,True,False
2.6,1.8,0.12788,True,True,False,True,True,False
2.6,1.9,0.12788,True,True,False,True,True,False
2.6,2.0,0.12788,True,True,False,True,True,False
2.6,2.1,0.12788,True,True,False,True,True,False
2.6,2.2,0.12788,True,True,False,True,True,False
2.6,2.3,0.12788,True,True,False,True,True,False
2.6,2.4,0.12788,True,True,False,True,True,False
2.6,2.5,0.12788,True,True,False,True,True,False
2.6,2.6,0.12788,True,True,False,True,True,False
2.6,2.7,0.12788,True,True,True,True,True,True
2.6,2.8,0.12788,True,True,True,True,True,True
2.6,2.9,0.12788,True,True,True,True,True,True
2.6,3.0,0.12788,True,True,True,True,True,True
2.6,3.1,0.12788,True,True,True,True,True,True
2.6,3.2,0.12788,True,True,True,True,True,True
2.6,3.3,0.12788,True,True,True,True,True,True
2.6,3.4,0.12788,True,True,True,True,True,True
2.6,3.5,0.12788,True,True,True,True,True,True
2.6,3.6,0.12788,True,True,True,True,True,True
2.6,3.7,0.12788,True,True,True,True,True,True
2.6,3.8,0.12788,True,True,True,True,True,True
2.6,3.9,0.12788,True,True,True,True,True,True
2.6,4.0,0.12788,True,True,True,True,True,True
2.6,4.1,0.12788,True,True,True,True,True,True
2.6,4.2,0.12788,True,True,True,True,True,True
2.6,4.3,0.12788,True,True,True,True,True,True
2.6,4.4,0.12788,False,True,True,True,True,False
2.6,4.5,0.12788,False,True,True,True,True,False
2.6,4.6,0.12788,False,True,True,True,True,False
2.6,4.7,0.12788,False,True,True,True,True,False
2.6,4.8,0.12788,False,True,True,True,True,False
2.6,4.9,0.12788,False,True,True,True,True,False
2.6,5.0,0.12788,False,True,True,True,True,False
2.7,0.0,0.14621,True,True,False,True,True,False
2.7,0.1,0.14621,True,True,False,True,True,False
2.7,0.2,0.14621,True,True,False,True,True,False
2.7,0.3,0.14621,True,True,False,True,True,False
2.7,0.4,0.14621,True,True,False,True,True,False
2.7,0.5,0.14621,True,True,False,True,True,False
2.7,0.6,0.14621,True,True,False,True,True,False
2.7,0.7,0.14621,True,True,False,True,True,False
2.7,0.8,0.14621,True,True,False,True,True,False
2.7,0.9,0.14621,True,True,False,True,True,False
2.7,1.0,0.14621,True,True,False,True,True,False
2.7,1.1,0.14621,True,True,False,True,True,False
2.7,1.2,0.14621,True,True,False,True,True,False
2.7,1.3,0.14621,True,True,False,True,True,False
2.7,1.4,0.14621,True,True,False,True,True,False
2.7,1.5,0.14621,True,True,False,True,True,False
2.7,1.6,0.14621,True,True,False,True,True,False
2.7,1.7,0.14621,True,True,False,True,True,False
2.7,1.8,0.14621,True,True,False,True,True,False
2.7,1.9,0.14621,True,True,False,True,True,False
2.7,2.0,0.14621,True,True,False,True,True,False
2.7,2.1,0.14621,True,True,False,True,True,False
2.7,2.2,0.14621,True,True,False,True,True,False
2.7,2.3,0.14621,True,True,False,True,True,False
2.7,2.4,0.14621,True,True,False,True,True,False
2.7,2.5,0.14621,True,True,False,True,True,False
2.7,2.6,0.14621,True,True,False,True,True,False
2.7,2.7,0.14621,True,True,False,True,True,False
2.7,2.8,0.14621,True,True,True,True,True,True
2.7,2.9,0.14621,True,True,True,True,True,True
2.7,3.0,0.14621,True,True,True,True,True,True
2.7,3.1,0.14621,True,True,True,True,True,True
2.7,3.2,0.14621,True,True,True,True,True,True
2.7,3.3,0.14621,True,True,True,True,True,True
2.7,3.4,0.14621,True,True,True,True,True,True
2.7,3.5,0.14621,True,True,True,True,True,True
2.7,3.6,0.14621,True,True,True,True,True,True
2.7,3.7,0.14621,True,True,True,True,True,True
2.7,3.8,0.14621,True,True,True,True,True,True
2.7,3.9,0.14621,True,True,True,True,True,True
2.7,4.0,0.14621,True,True,True,True,True,True
2.7,4.1,0.14621,True,True,True,True,True,True
2.7,4.2,0.14621,True,True,True,True,True,True
2.7,4.3,0.14621,True,True,True,True,True,True
2.7,4.4,0.14621,False,True,True,True,True,False
2.7,4.5,0.14621,False,True,True,True,True,False
2.7,4.6,0.14621,False,True,True,True,True,False
2.7,4.7,0.14621,False,True,True,True,True,False
2.7,4.8,0.14621,False,True,True,True,True,False
2.7,4.9,0.14621,False,True,True,True,True,False
2.7,5.0,0.14621,False,True,True,True,True,False
2.8,0.0,0.165375,True,True,False,True,True,False
2.8,0.1,0.165375,True,True,False,True,True,False
2.8,0.2,0.165375,True,True,False,True,True,False
2.8,0.3,0.165375,True,True,False,True,True,False
2.8,0.4,0.165375,True,True,False,True,True,False
2.8,0.5,0.165375,True,True,False,True,True,False
2.8,0.6,0.165375,True,True,False,True,True,False
2.8,0.7,0.165375,True,True,False,True,True,False
2.8,0.8,0.165375,True,True,False,True,True,False
2.8,0.9,0.165375,True,True,False,True,True,False
2.8,1.0,0.165375,True,True,False,True,True,False
2.8,1.1,0.165375,True,True,False,True,True,False
2.8,1.2,0.165375,True,True,False,True,True,False
2.8,1.3,0.165375,True,True,False,True,True,False
2.8,1.4,0.165375,True,True,False,True,True,False
2.8,1.5,0.165375,True,True,False,True,True,False
2.8,1.6,0.165375,True,True,False,True,True,False
2.8,1.7,0.165375,True,True,False,True,True,False
2.8,1.8,0.165375,True,True,False,True,True,False
2.8,1.9,0.165375,True,True,False,True,True,False
2.8,2.0,0.165375,True,True,False,True,True,False
2.8,2.1,0.165375,True,True,False,True,True,False
2.8,2.2,0.165375,True,True,False,True,True,False
2.8,2.3,0.165375,True,True,False,True,True,False
2.8,2.4,0.165375,True,True,False,True,True,False
2.8,2.5,0.165375,True,True,False,True,True,False
2.8,2.6,0.165375,True,True,False,True,True,False
2.8,2.7,0.165375,True,True,False,True,True,False
2.8,2.8,0.165375,True,True,False,True,True,False
2.8,2.9,0.165375,True,True,True,True,True,True
2.8,3.0,0.165375,True,True,True,True,True,True
2.8,3.1,0.165375,True,True,True,True,True,True
2.8,3.2,0.165375,True,True,True,True,True,True
2.8,3.3,0.165375,True,True,True,True,True,True
2.8,3.4,0.165375,True,True,True,True,True,True
2.8,3.5,0.165375,True,True,True,True,True,True
2.8,3.6,0.165375,True,True,True,True,True,True
2.8,3.7,0.165375,True,True,True,True,True,True
2.8,3.8,0.165375,True,True,True,True,True,True
2.8,3.9,0.165375,True,True,True,True,True,True
2.8,4.0,0.165375,True,True,True,True,True,True
2.8,4.1,0.165375,True,True,True,True,True,True
2.8,4.2,0.165375,True,True,True,True,True,True
2.8,4.3,0.165375,True,True,True,True,True,True
2.8,4.4,0.165375,False,True,True,True,True,False
2.8,4.5,0.165375,False,True,True,True,True,False
2.8,4.6,0.165375,False,True,True,True,True,False
2.8,4.7,0.165375,False,True,True,True,True,False
2.8,4.8,0.165375,False,True,True,True,True,False
2.8,4.9,0.165375,False,True,True,True,True,False
2.8,5.0,0.165375,False,True,True,True,True,False
2.9,0.0,0.18611,True,True,False,True,True,False
2.9,0.1,0.18611,True,True,False,True,True,False
2.9,0.2,0.18611,True,True,False,True,True,False
2.9,0.3,0.18611,True,True,False,True,True,False
2.9,0.4,0.18611,True,True,False,True,True,False
2.9,0.5,0.18611,True,True,False,True,True,False
2.9,0.6,0.18611,True,True,False,True,True,False
2.9,0.7,0.18611,True,True,False,True,True,False
2.9,0.8,0.18611,True,True,False,True,True,False
2.9,0.9,0.18611,True,True,False,True,True,False
2.9,1.0,0.18611,True,True,False,True,True,False
2.9,1.1,0.18611,True,True,False,True,True,False
2.9,1.2,0.18611,True,True,False,True,True,False
2.9,1.3,0.18611,True,True,False,True,True,False
2.9,1.4,0.18611,True,True,False,True,True,False
2.9,1.5,0.18611,True,True,False,True,True,False
2.9,1.6,0.18611,True,True,False,True,True,False
2.9,1.7,0.18611,True,True,False,True,True,False
2.9,1.8,0.18611,True,True,False,True,True,False
2.9,1.9,0.18611,True,True,False,True,True,False
2.9,2.0,0.18611,True,True,False,True,True,False
2.9,2.1,0.18611,True,True,False,True,True,False
2.9,2.2,0.18611,True,True,False,True,True,False
2.9,2.3,0.18611,True,True,False,True,True,False
2.9,2.4,0.18611,True,True,False,True,True,False
2.9,2.5,0.18611,True,True,False,True,True,False
2.9,2.6,0.18611,True,True,False,True,True,False
2.9,2.7,0.18611,True,True,False,True,True,False
2.9,2.8,0.18611,True,True,False,True,True,False
2.9,2.9,0.18611,True,True,False,True,True,False
2.9,3.0,0.18611,True,True,True,True,True,True
2.9,3.1,0.18611,True,True,True,True,True,True
2.9,3.2,0.18611,True,True,True,True,True,True
2.9,3.3,0.18611,True,True,True,True,True,True
2.9,3.4,0.18611,True,True,True,True,True,True
2.9,3.5,0.18611,True,True,True,True,True,True
2.9,3.6,0.18611,True,True,True,True,True,True
2.9,3.7,0.18611,True,True,True,True,True,True
2.9,3.8,0.18611,True,True,True,True,True,True
2.9,3.9,0.18611,True,True,True,True,True,True
2.9,4.0,0.18611,True,True,True,True,True,True
2.9,4.1,0.18611,True,True,True,True,True,True
2.9,4.2,0.18611,True,True,True,True,True,True
2.9,4.3,0.18611,True,True,True,True,True,True
2.9,4.4,0.18611,False,True,True,True,True,False
2.9,4.5,0.18611,False,True,True,True,True,False
2.9,4.6,0.18611,False,True,True,True,True,False
2.9,4.7,0.18611,False,True,True,True,True,False
2.9,4.8,0.18611,False,True,True,True,True,False
2.9,4.9,0.18611,False,True,True,True,True,False
2.9,5.0,0.18611,False,True,True,True,True,False
3.0,0.0,0.207715,True,True,False,True,True,False
3.0,0.1,0.207715,True,True,False,True,True,False
3.0,0.2,0.207715,True,True,False,True,True,False
3.0,0.3,0.207715,True,True,False,True,True,False
3.0,0.4,0.207715,True,True,False,True,True,False
3.0,0.5,0.207715,True,True,False,True,True,False
3.0,0.6,0.207715,True,True,False,True,True,False
3.0,0.7,0.207715,True,True,False,True,True,False
3.0,0.8,0.207715,True,True,False,True,True,False
3.0,0.9,0.207715,True,True,False,True,True,False
3.0,1.0,0.207715,True,True,False,True,True,False
3.0,1.1,0.207715,True,True,False,True,True,False
3.0,1.2,0.207715,True,True,False,True,True,False
3.0,1.3,0.207715,True,True,False,True,True,False
3.0,1.4,0.207715,True,True,False,True,True,False
3.0,1.5,0.207715,True,True,False,True,True,False
3.0,1.6,0.207715,True,True,False,True,True,False
3.0,1.7,0.207715,True,True,False,True,True,False
3.0,1.8,0.207715,True,True,False,True,True,False
3.0,1.9,0.207715,True,True,False,True,True,False
3.0,2.0,0.207715,True,True,False,True,True,False
3.0,2.1,0.207715,True,True,False,True,True,False
3.0,2.2,0.207715,True,True,False,True,True,False
3.0,2.3,0.207715,True,True,False,True,True,False
3.0,2.4,0.207715,True,True,False,True,True,False
3.0,2.5,0.207715,True,True,False,True,True,False
3.0,2.6,0.207715,True,True,False,True,True,False
3.0,2.7,0.207715,True,True,False,True,True,False
3.0,2.8,0.207715,True,True,False,True,True,False
3.0,2.9,0.207715,True,True,False,True,True,False
3.0,3.0,0.207715,True,True,False,True,True,False
3.0,3.1,0.207715,True,True,True,True,True,True
3.0,3.2,0.207715,True,True,True,True,True,True
3.0,3.3,0.207715,True,True,True,True,True,True
3.0,3.4,0.207715,True,True,True,True,True,True
3.0,3.5,0.207715,True,True,True,True,True,True
3.0,3.6,0.207715,True,True,True,True,True,True
3.0,3.7,0.207715,True,True,True,True,True,True
3.0,3.8,0.207715,True,True,True,True,True,True
3.0,3.9,0.207715,True,True,True,True,True,True
3.0,4.0,0.207715,True,True,True,True,True,True
3.0,4.1,0.207715,True,True,True,True,True,True
3.0,4.2,0.207715,True,True,True,True,True,True
3.0,4.3,0.207715,True,True,True,True,True,True
3.0,4.4,0.207715,False,True,True,True,True,False
3.0,4.5,0.207715,False,True,True,True,True,False
3.0,4.6,0.207715,False,True,True,True,True,False
3.0,4.7,0.207715,False,True,True,True,True,False
3.0,4.8,0.207715,False,True,True,True,True,False
3.0,4.9,0.207715,False,True,True,True,True,False
3.0,5.0,0.207715,False,True,True,True,True,False
